============================================================
Training run 2 started at 2026-05-09 11:15:39
============================================================
Using device: cuda
GPU: Tesla T4
Game: Qbert
Number of actions: 6
Hyperparameters:
  learning_rate: 0.0001
  gamma: 0.99
  buffer_size: 500000
  batch_size: 32
  epsilon_start: 1.0
  epsilon_end: 0.1
  epsilon_decay_steps: 1000000
  total_steps: 2500000
  eval_freq: 10000
  eval_episodes: 5
Collecting fixed states for Q-value tracking...
Collected 1000 fixed states

Starting training run 2...
Total steps: 2500000 (starting from 1)
Evaluation every 10000 steps
--------------------------------------------------
Step   10000 | Eval Reward:     0.00 | Avg Max Q:  10.47 | Loss:   0.5288 | Epsilon: 0.991 | Buffer:   10000 | Train Eps:  30 | Train R:  157.50 | 102.3 steps/s
Step   20000 | Eval Reward:     0.00 | Avg Max Q:   5.66 | Loss:   0.2156 | Epsilon: 0.982 | Buffer:   20000 | Train Eps:  30 | Train R:  163.33 | 159.3 steps/s
Step   30000 | Eval Reward:     0.00 | Avg Max Q:   6.69 | Loss:   0.1219 | Epsilon: 0.973 | Buffer:   30000 | Train Eps:  28 | Train R:  216.07 | 145.6 steps/s
Step   40000 | Eval Reward:     0.00 | Avg Max Q:   3.50 | Loss:   0.0971 | Epsilon: 0.964 | Buffer:   40000 | Train Eps:  32 | Train R:  147.66 | 158.7 steps/s
Step   50000 | Eval Reward:     0.00 | Avg Max Q:   3.66 | Loss:   0.0667 | Epsilon: 0.955 | Buffer:   50000 | Train Eps:  28 | Train R:  169.64 | 147.8 steps/s
Step   60000 | Eval Reward:    25.00 | Avg Max Q:   2.62 | Loss:   0.0566 | Epsilon: 0.946 | Buffer:   60000 | Train Eps:  31 | Train R:  133.87 | 157.3 steps/s
Step   70000 | Eval Reward:    75.00 | Avg Max Q:   5.15 | Loss:   0.0555 | Epsilon: 0.937 | Buffer:   70000 | Train Eps:  30 | Train R:  150.83 | 147.4 steps/s
Step   80000 | Eval Reward:     0.00 | Avg Max Q:   4.44 | Loss:   0.0484 | Epsilon: 0.928 | Buffer:   80000 | Train Eps:  29 | Train R:  162.07 | 142.9 steps/s
Step   90000 | Eval Reward:     0.00 | Avg Max Q:   5.02 | Loss:   0.0488 | Epsilon: 0.919 | Buffer:   90000 | Train Eps:  29 | Train R:  207.76 | 144.5 steps/s
Step  100000 | Eval Reward:   100.00 | Avg Max Q:   2.39 | Loss:   0.0471 | Epsilon: 0.910 | Buffer:  100000 | Train Eps:  30 | Train R:  140.00 | 151.9 steps/s
Step  110000 | Eval Reward:   125.00 | Avg Max Q:   3.37 | Loss:   0.0534 | Epsilon: 0.901 | Buffer:  110000 | Train Eps:  30 | Train R:  159.17 | 151.1 steps/s
Step  120000 | Eval Reward:   250.00 | Avg Max Q:   3.34 | Loss:   0.0555 | Epsilon: 0.892 | Buffer:  120000 | Train Eps:  29 | Train R:  165.52 | 147.9 steps/s
Step  130000 | Eval Reward:   475.00 | Avg Max Q:   4.27 | Loss:   0.0568 | Epsilon: 0.883 | Buffer:  130000 | Train Eps:  30 | Train R:  156.67 | 148.2 steps/s
Step  140000 | Eval Reward:   275.00 | Avg Max Q:   2.39 | Loss:   0.0659 | Epsilon: 0.874 | Buffer:  140000 | Train Eps:  28 | Train R:  200.00 | 147.5 steps/s
Step  150000 | Eval Reward:   125.00 | Avg Max Q:   2.71 | Loss:   0.0698 | Epsilon: 0.865 | Buffer:  150000 | Train Eps:  29 | Train R:  189.66 | 146.6 steps/s
Step  160000 | Eval Reward:     0.00 | Avg Max Q:   4.58 | Loss:   0.0757 | Epsilon: 0.856 | Buffer:  160000 | Train Eps:  30 | Train R:  146.67 | 148.6 steps/s
Step  170000 | Eval Reward:     0.00 | Avg Max Q:   4.00 | Loss:   0.0750 | Epsilon: 0.847 | Buffer:  170000 | Train Eps:  28 | Train R:  208.93 | 147.7 steps/s
